TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
SDR,SCHRODERS PLC,VTG SHS £1,GB0002405495,SHRS,Financials,Financial Services,30/03/2007,United Kingdom,GBX,"£8,408.03",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SDRC,SCHRODERS PLC,NON-VTG SHS £1,GB0002395811,SHRS,Financials,Financial Services,30/03/2007,United Kingdom,GBX,"£1,505.87",MAIN MARKET,Standard Shares,SSMU,SMEU
SDU,SCHRODER UK GROWTH FUND PLC,ORD 25P,GB0007913485,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£268.44,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SCP,SCHRODER UK MID CAP FUND PLC,ORD 25P,GB0006108418,SHRS,Financials,Financial Services,16/12/2008,United Kingdom,GBX,£192.16,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SAG,SCIENCE GROUP PLC,ORD 1P,GB00B39GTJ17,SHRS,Industrials,Industrial Goods & Services,08/07/2008,United Kingdom,GBX,£90.94,AIM,,ASX1,AIMP
SIS,SCIENCE IN SPORT PLC,ORD 10P,GB00BBPV5329,SHRS,Consumer Goods,Food & Beverage,09/08/2013,United Kingdom,GBX,£50.11,AIM,,ASQ1,AMQ1
SDI,SCIENTIFIC DIGITAL IMAGING PLC,ORD 1P,GB00B3FBWW43,SHRS,Health Care,Healthcare,08/12/2008,United Kingdom,GBX,£28.68,AIM,,ASX1,AIMP
SSY,SCISYS PLC,ORD 25P,GB0001520757,SHRS,Technology,Technology,27/09/2006,United Kingdom,GBX,£39.11,AIM,,ASQ1,AMQ1
SGEM,SCOTGEMS PLC,ORD 1P,GB00BYT25542,SHRS,Financials,Financial Services,26/06/2017,United Kingdom,GBX,£49.52,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SGZ,SCOTGOLD RESOURCES LIMITED,ORD NPV (DI),AU000XINEAK5,SHRS,Basic Materials,Basic Resources,25/08/2017,Australia,GBX,£6.67,AIM,,ASQ1,AMQ1
SCAM,SCOTTISH AMERICAN INVESTMENT CO. PLC,ORD 25P,GB0007873697,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£502.12,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SCIN,SCOTTISH INVESTMENT TRUST PLC,ORD 25P,GB0007826091,SHRS,Financials,Financial Services,31/10/2003,United Kingdom,GBX,£671.40,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
SMT,SCOTTISH MORTGAGE INVESTMENT TRUST PLC,ORD 5P,GB00BLDYK618,SHRS,Financials,Financial Services,30/06/2014,United Kingdom,GBX,"£6,385.63",MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FS10
SST,SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC,ORD 25P,GB0007836132,SHRS,Financials,Financial Services,16/12/2008,United Kingdom,GBX,£321.86,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SCS,SCS GROUP PLC,ORD 0.1P,GB00BRF0TJ56,SHRS,Consumer Services,Retail,28/01/2015,United Kingdom,GBX,£86.42,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
SDL,SDL PLC,ORD 1P,GB0009376368,SHRS,Technology,Technology,19/12/2005,United Kingdom,GBX,£376.04,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
SDVP,SDV 2025 ZDP PLC,ZDP SHS 100P,GB00BZ7MQD81,SHRS,,,08/01/2018,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSQ3,SQS3
SDX,SDX ENERGY INC.,COM SHS NPV (DI),CA78410A1075,SHRS,Oil & Gas,Oil & Gas,20/05/2016,Canada,GBX,£103.27,AIM,,ASQ1,AMQ1
SCGL,SEALAND CAPITAL GALAXY LIMITED,ORD SHS GBP0.0001 EACH (DI),KYG7948E1026,SHRS,Technology,Technology,17/11/2015,Cayman Islands,GBX,£40.32,MAIN MARKET,Standard Shares,SSQ3,SQS3
SECG,SEC S.P.A.,ORD NPV (CDI),IT0005200453,SHRS,Consumer Services,Media,26/07/2016,Italy,GBX,£14.79,AIM,,ASQ1,AMQ1
SIR,SECURE INCOME REIT PLC,ORD 10P,GB00BLMQ9L68,SHRS,Financials,Real Estate,05/06/2014,United Kingdom,GBX,£834.54,AIM,,AMSM,AS50
SPDI,SECURE PROPERTY DEVELOPMENT & INVESTMENT PLC,ORD EUR0.01 (DI),CY0102102213,SHRS,Financials,Real Estate,09/08/2011,Cyprus,GBX,£11.91,AIM,,ASQ1,AMQ1
STB,SECURE TRUST BANK PLC,ORD 40P,GB00B6TKHP66,SHRS,Financials,Banks,02/11/2011,United Kingdom,GBX,£327.94,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
STS,SECURITIES TRUST OF SCOTLAND PLC,RED ORDS 1P,GB00B09G3N23,SHRS,Financials,Financial Services,19/09/2005,United Kingdom,GBX,£193.09,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SEE,SEEING MACHINES LIMITED,ORD NPV,AU0000XINAJ0,SHRS,Technology,Technology,01/12/2005,Australia,GBX,£133.08,AIM,,ASX1,AIMP
SGRO,SEGRO PLC,ORD 10P,GB00B5ZN1N88,SHRS,Financials,Real Estate,31/07/2009,United Kingdom,GBX,"£5,831.02",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SIGT,SENECA GLOBAL INCOME & GROWTH TRUST PLC,ORD 25P,GB0008769993,SHRS,Financials,Financial Services,20/12/2005,United Kingdom,GBX,£80.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
SNR,SENIOR PLC,10P,GB0007958233,SHRS,Industrials,Industrial Goods & Services,08/07/2005,United Kingdom,GBX,"£1,139.98",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SEPL,SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,ORD NGN0.50 (DI),NGSEPLAT0008,SHRS,Oil & Gas,Oil & Gas,12/04/2014,Nigeria,GBX,£709.94,MAIN MARKET,Standard Shares,SSMU,SMEU
SEQI,SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,ORD NPV,GG00BV54HY67,SHRS,Financials,Financial Services,03/03/2015,Guernsey,GBX,£815.35,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
SRB,SERABI GOLD PLC,ORD 0.5P,GB00B4T0YL77,SHRS,Basic Materials,Basic Resources,22/12/2010,United Kingdom,GBX,£24.60,AIM,,ASX1,AIMP
SRP,SERCO GROUP PLC,ORD 2P,GB0007973794,SHRS,Industrials,Industrial Goods & Services,18/09/2006,United Kingdom,GBX,£974.43,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SQZ,SERICA ENERGY PLC,ORD USD0.10,GB00B0CY5V57,SHRS,Oil & Gas,Oil & Gas,14/03/2006,United Kingdom,GBX,£222.55,AIM,,AMSM,ASM7
SEV,SERVISION PLC,ORD 1P,GB00B0586C20,SHRS,Industrials,Industrial Goods & Services,23/02/2007,United Kingdom,GBX,£1.95,AIM,,ASX1,AIMP
SVCA,SERVOCA PLC,ORD 1P,GB00BF2VKD83,SHRS,Industrials,Industrial Goods & Services,16/08/2017,United Kingdom,GBX,£25.89,AIM,,ASX1,AIMP
SFR,SEVERFIELD PLC,ORD 2.5P,GB00B27YGJ97,SHRS,Industrials,Industrial Goods & Services,09/10/2007,United Kingdom,GBX,£248.08,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
SVT,SEVERN TRENT PLC,ORD 97 17/19P,GB00B1FH8J72,SHRS,Utilities,Utilities,09/10/2006,United Kingdom,GBX,"£4,615.50",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SHB,SHAFTESBURY PLC,ORD 25P,GB0007990962,SHRS,Financials,Real Estate,31/10/2003,United Kingdom,GBX,"£3,072.90",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SHG,SHANTA GOLD LIMITED,ORD 0.01P,GB00B0CGR828,SHRS,Basic Materials,Basic Resources,21/03/2007,Guernsey,GBX,£43.09,AIM,,ASQ1,AMQ1
SHRE,SHARE PLC,ORD 0.5P,GB0001977866,SHRS,Financials,Financial Services,15/05/2008,United Kingdom,GBX,£34.84,AIM,,ASX1,AIMP
SWG,SHEARWATER GROUP PLC,ORD 1P,GB00B00T3528,SHRS,Technology,Technology,07/05/2004,United Kingdom,GBX,£34.96,AIM,,ASQ1,AMQ1
SEFA,SHEFA YAMIM (A.T.M.) LTD,ORD NIS1.00 (DI),IL0011101057,SHRS,Basic Materials,Basic Resources,18/12/2017,Israel,GBX,£14.95,MAIN MARKET,Standard Shares,SSQ3,SQS3
SIGB,SHERBORNE INVESTORS (GUERNSEY) B LIMITED,A ORD NPV,GG00B883XC99,SHRS,Financials,Financial Services,29/11/2012,Guernsey,GBX,£76.75,MAIN MARKET - SFS,,SFM2,SFQQ
SIGC,SHERBORNE INVESTORS (GUERNSEY) C LIMITED,ORD NPV,GG00BZ3C3B94,SHRS,,,12/07/2017,Guernsey,GBX,£745.50,MAIN MARKET - SFS,,SFM1,SFML
STX,SHIELD THERAPEUTICS PLC,ORD 1.5P,GB00BYV81293,SHRS,Health Care,Healthcare,26/02/2016,United Kingdom,GBX,£130.98,AIM,,ASQ1,AMQ1
SHP,SHIRE PLC,ORD 5P,JE00B2QKY057,SHRS,Health Care,Healthcare,23/05/2008,Jersey,GBX,"£30,273.02",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
SHRS,SHIRES INCOME PLC,ORD 50P,GB0008052507,SHRS,Financials,Financial Services,02/12/2005,United Kingdom,GBX,£86.09,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
SHOE,SHOE ZONE PLC,ORD 1P,GB00BLTVCF91,SHRS,Consumer Services,Retail,23/05/2014,United Kingdom,GBX,£85.50,AIM,,ASQ1,AMQ1
SGR,SHORE CAPITAL GROUP LIMITED,ORD NPV,GG00BGCZJ741,SHRS,Financials,Financial Services,09/12/2013,Guernsey,GBX,£44.87,AIM,,ASQ1,AMQ1
SGM,SIGMA CAPITAL GROUP PLC,ORD 1P,GB0004225073,SHRS,Financials,Financial Services,24/03/2005,United Kingdom,GBX,£86.50,AIM,,ASX1,AIMP
SRC,SIGMAROC PLC,ORD 1P,GB00BYX5K988,SHRS,Industrials,Construction & Materials,05/01/2017,United Kingdom,GBX,£55.09,AIM,,ASX1,AIMP
SHI,SIG PLC,ORD 10P,GB0008025412,SHRS,Industrials,Industrial Goods & Services,31/10/2003,United Kingdom,GBX,£961.86,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SLN,SILENCE THERAPEUTICS PLC,ORD 5P,GB00B9GTXM62,SHRS,Health Care,Healthcare,30/04/2013,United Kingdom,GBX,£140.68,AIM,,AMSM,ASM6
SMG,SIMIAN GLOBAL PLC,ORD 10P,GB00BDHBGL97,SHRS,Financials,Financial Services,10/01/2017,United Kingdom,GBX,£1.09,MAIN MARKET,,SSQ3,SQS3
SIM,SIMIGON LTD.,ORD ILS0.01 (DI),IL0010991185,SHRS,Technology,Technology,20/12/2006,Israel,GBX,£7.97,AIM,,ASX1,AIMP
SPH,SINCLAIR PHARMA PLC,ORD 1P,GB0033856740,SHRS,Health Care,Healthcare,16/04/2007,United Kingdom,GBX,£115.11,AIM,,AMSM,ASM6
SXX,SIRIUS MINERALS PLC,ORD 0.25P,GB00B0DG3H29,SHRS,Basic Materials,Chemicals,01/08/2005,United Kingdom,GBX,"£1,051.51",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
SRSP,SIRIUS PETROLEUM PLC,ORD 0.25P,GB00B03VVN93,SHRS,Oil & Gas,Oil & Gas,24/03/2011,United Kingdom,GBX,£31.11,AIM,,ASQ1,AMQ1
SRE,SIRIUS REAL ESTATE LD,ORD NPV,GG00B1W3VF54,SHRS,Financials,Real Estate,06/03/2017,Guernsey,GBX,£559.80,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
SBTX,SKINBIOTHERAPEUTICS PLC,ORD 1P,GB00BF33H870,SHRS,Health Care,Healthcare,05/04/2017,United Kingdom,GBX,£10.39,AIM,,ASQ1,AMQ1
SKY,SKY PLC,ORD 50P,GB0001411924,SHRS,Consumer Services,Media,23/09/1997,United Kingdom,GBX,"£18,204.39",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
SLNG,SLINGSBY (H.C.) PLC,ORD 25P,GB0008138009,SHRS,Industrials,Industrial Goods & Services,24/05/2005,United Kingdom,GBX,£1.00,AIM,,ASX1,AIMP
SMJ,SMART (J.) & CO. (CONTRACTORS) PLC,ORD 2P,GB00B76BK617,SHRS,Industrials,Construction & Materials,21/12/2011,United Kingdom,GBX,£48.58,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
SMS,SMART METERING SYSTEMS PLC,ORD 1P,GB00B4X1RC86,SHRS,Industrials,Industrial Goods & Services,08/07/2011,United Kingdom,GBX,£846.75,AIM,,AMSM,AS50
SMDS,SMITH (DS) PLC,ORD 10P,GB0008220112,SHRS,Industrials,Industrial Goods & Services,31/10/2003,United Kingdom,GBX,"£5,375.82",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SN.,SMITH & NEPHEW PLC,ORD USD0.20,GB0009223206,SHRS,Health Care,Healthcare,12/07/2001,United Kingdom,GBX,"£11,106.53",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SMIN,SMITHS GROUP PLC,ORD 37.5P,GB00B1WY2338,SHRS,Industrials,Industrial Goods & Services,18/06/2007,United Kingdom,GBX,"£6,325.86",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SKG,SMURFIT KAPPA GROUP PLC,ORD EUR0.001,IE00B1RR8406,SHRS,Industrials,Industrial Goods & Services,01/03/2016,Ireland,GBX,"£5,854.95",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SIA,SOCO INTERNATIONAL PLC,ORD 5P,GB00B572ZV91,SHRS,Oil & Gas,Oil & Gas,10/06/2010,United Kingdom,GBX,£381.75,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SCT,SOFTCAT PLC,ORD £0.0005,GB00BYZDVK82,SHRS,Technology,Technology,18/11/2015,United Kingdom,GBX,"£1,040.99",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SOLG,SOLGOLD PLC,ORD 1P,GB00B0WD0R35,SHRS,Basic Materials,Basic Resources,20/12/2006,United Kingdom,GBX,£373.17,MAIN MARKET,Standard Shares,SSMU,SMEV
SOLI,SOLID STATE PLC,ORD 5P,GB0008237132,SHRS,Industrials,Industrial Goods & Services,02/06/2000,United Kingdom,GBX,£35.34,AIM,,ASX1,AIMP
SOLO,SOLO OIL PLC,ORD 0.20P,GB00BF1BK408,SHRS,Oil & Gas,Oil & Gas,25/07/2017,United Kingdom,GBX,£16.67,AIM,,ASQ1,AMQ1
SOM,SOMERO ENTERPRISE INC.,COM STK USD0.001 (DI),USU834501038,SHRS,Industrials,Industrial Goods & Services,08/02/2007,United States,GBX,£199.66,AIM,,ASQ1,AMQ1
SPE,SOPHEON PLC,ORD 20P,GB00BSZM1369,SHRS,Technology,Technology,22/12/2014,United Kingdom,GBX,£56.30,AIM,,ASQ1,AMQ1
SOPH,SOPHOS GROUP PLC,ORD 3P,GB00BYZFZ918,SHRS,Technology,Technology,01/07/2015,United Kingdom,GBX,"£2,990.64",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SOS,SOSANDAR PLC,ORD 0.1P,GB00BDGS8G04,SHRS,Consumer Services,Retail,02/11/2017,United Kingdom,GBX,£18.53,AIM,,ASQ1,AMQ1
SOU,SOUND ENERGY PLC,ORD 1P,GB00B90XFF12,SHRS,Oil & Gas,Oil & Gas,07/01/2013,United Kingdom,GBX,£489.45,AIM,,AMSM,AS50
S32,SOUTH32 LIMITED,ORD NPV (DI),AU000000S320,SHRS,Basic Materials,Basic Resources,23/05/2015,Australia,GBX,"£11,304.40",MAIN MARKET,Standard Shares,SSMU,SMEU
SAPO,SOUTH AFRICAN PROPERTY OPPORTUNITIES PLC,ORD 1P,GB00B16GQJ90,SHRS,Financials,Real Estate,26/10/2006,Isle of Man,GBX,£0.62,AIM,,ASQ1,AMQ1
SAL,SPACEANDPEOPLE PLC,ORD 1P,GB00B058DS79,SHRS,Consumer Services,Media,21/12/2005,United Kingdom,GBX,£6.83,AIM,,ASQ1,AMQ1
SPSC,SPECTRA SYSTEMS CORPORATION,COM SHS USD0.01 (DI/REGS),USU8457D1091,SHRS,Industrials,Industrial Goods & Services,25/07/2011,United States,GBX,£0.59,AIM,,ASX1,AMSR
SPSY,SPECTRA SYSTEMS CORPORATION,COM SHS USD0.01 (UNRES),US84756T1060,SHRS,Industrials,Industrial Goods & Services,25/07/2011,United States,GBX,£46.38,AIM,,ASX1,AIMP
SXS,SPECTRIS PLC,ORD 5P,GB0003308607,SHRS,Industrials,Industrial Goods & Services,31/10/2003,United Kingdom,GBX,"£3,111.44",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SDY,SPEEDY HIRE PLC,ORD 5P,GB0000163088,SHRS,Industrials,Industrial Goods & Services,22/09/2008,United Kingdom,GBX,£286.98,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
SOP,SPINNAKER OPPORTUNITIES PLC,ORD 2.5P,GB00BYQCS703,SHRS,Financials,Financial Services,17/05/2017,United Kingdom,GBX,£1.43,MAIN MARKET,Standard Shares,SSQ3,SQS3
SPX,SPIRAX-SARCO ENGINEERING PLC,ORD 26 12/13P,GB00BWFGQN14,SHRS,Industrials,Industrial Goods & Services,15/06/2015,United Kingdom,GBX,"£4,174.53",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SPI,SPIRE HEALTHCARE GROUP PLC,ORD 1P,GB00BNLPYF73,SHRS,Health Care,Healthcare,18/07/2014,United Kingdom,GBX,£978.64,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SPT,SPIRENT COMMUNICATIONS PLC,ORD 3 1/3P,GB0004726096,SHRS,Technology,Technology,11/10/2002,United Kingdom,GBX,£614.19,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SRO,SPITFIRE OIL LIMITED,ORD USD0.0005 (DI),BMG836741048,SHRS,Oil & Gas,Oil & Gas,18/07/2007,Bermuda,GBX,£2.14,AIM,,ASX1,AIMP
SPO,SPORTECH PLC,ORD 20P,GB00B28ZPV64,SHRS,Consumer Services,Travel & Leisure,18/12/2007,United Kingdom,GBX,£152.20,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SPD,SPORTS DIRECT INTERNATIONAL PLC,ORD 10P,GB00B1QH8P22,SHRS,Consumer Services,Retail,18/06/2007,United Kingdom,GBX,"£2,017.72",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SPR,SPRINGFIELD PROPERTIES PLC,ORD 0.125P,GB00BF1QPG26,SHRS,Consumer Goods,Personal & Household Goods,16/10/2017,United Kingdom,GBX,£93.99,AIM,,ASQ1,AMQ1
SPRP,SPRUE AEGIS PLC,ORD 2P,GB0030508757,SHRS,Industrials,Industrial Goods & Services,30/04/2014,United Kingdom,GBX,£91.35,AIM,,ASQ1,AMQ1
SQN,SQN ASSET FINANCE INCOME FUND LIMITED,ORD NPV,GG00BN56JF17,SHRS,Financials,Financial Services,14/07/2014,Guernsey,GBX,£321.94,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SQNX,SQN ASSET FINANCE INCOME FUND LIMITED,C SHS NPV,GG00BYNJG147,SHRS,Financials,Financial Services,12/12/2016,Guernsey,GBX,£165.60,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SSIF,SQN SECURED INCOME FUND PLC,ORD 1P,GB00BYMK5S87,SHRS,,,23/09/2015,United Kingdom,GBX,£48.76,MAIN MARKET - SFS,,SFM2,SFQQ
SQS,SQS SOFTWARE QUALITY SYSTEMS AG,ORD EUR1,DE0005493514,SHRS,Technology,Technology,21/06/2006,Germany,GBX,£266.92,AIM,,ASX1,AIMP
SQSA,SQS SOFTWARE QUALITY SYSTEMS AG,ASSD WEILCHENSEE 884. V V GMBH,QQ00BDD23H19,SHRS,Technology,Technology,21/12/2017,Germany,GBX,,AIM,,ASXN,AIMN
SRT,SRT MARINE SYSTEMS PLC,ORD 0.1P,GB00B0M8KM36,SHRS,Technology,Technology,02/11/2005,United Kingdom,GBX,£36.09,AIM,,ASQ1,AMQ1
SSE,SSE PLC,ORD 50P,GB0007908733,SHRS,Utilities,Utilities,16/12/1998,United Kingdom,GBX,"£13,233.58",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SSPG,SSP GROUP PLC,ORD 1P,GB00BNGWY422,SHRS,Consumer Services,Travel & Leisure,15/07/2014,United Kingdom,GBX,"£2,921.82",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
SDM,STADIUM GROUP PLC,ORD 5P,GB0008375098,SHRS,Industrials,Industrial Goods & Services,20/09/2006,United Kingdom,GBX,£33.41,AIM,,ASX1,AIMP
STAF,STAFFLINE GROUP PLC,ORD 10P,GB00B040L800,SHRS,Industrials,Industrial Goods & Services,22/09/2005,United Kingdom,GBX,£289.63,AIM,,AMSM,AS50
SGC,STAGECOACH GROUP PLC,ORD 125/228P,GB00B6YTLS95,SHRS,Consumer Services,Travel & Leisure,10/10/2011,United Kingdom,GBX,£866.89,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
STAN,STANDARD CHARTERED PLC,ORD USD0.50,GB0004082847,SHRS,Financials,Banks,24/11/2003,United Kingdom,GBX,"£27,019.81",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
SLA,STANDARD LIFE ABERDEEN PLC,ORD 12 2/9P,GB00BVFD7Q58,SHRS,Financials,Financial Services,16/03/2015,United Kingdom,GBX,"£12,675.38",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
SLET,STANDARD LIFE EQUITY INCOME TRUST PLC,ORD 25P,GB0006039597,SHRS,Financials,Financial Services,02/12/2005,United Kingdom,GBX,£245.81,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SLI,STANDARD LIFE INVESTMENTS PROPERTY INCOME TRUST LD,ORD 1P,GB0033875286,SHRS,Financials,Real Estate,14/03/2006,United Kingdom,GBX,£372.58,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
SLPE,STANDARD LIFE PRIVATE EQUITY TRUST PLC,ORD 0.2P,GB0030474687,SHRS,Financials,Financial Services,12/12/2005,United Kingdom,GBX,£530.42,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SLS,STANDARD LIFE UK SMALLER COMPANIES TRUST PLC,ORD 25P,GB0002959582,SHRS,Financials,Financial Services,16/04/1996,United Kingdom,GBX,£356.96,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SGI,STANLEY GIBBONS GROUP PLC,ORD 1P,GB0009628438,SHRS,Consumer Services,Retail,22/03/2006,Jersey,GBX,£8.90,AIM,,ASX1,AIMP
STAR,STARCOM PLC,ORD NPV,JE00B8WSDY21,SHRS,Technology,Technology,27/02/2013,Jersey,GBX,£7.19,AIM,,ASQ1,AMQ1
SVE,STARVEST PLC,ORD 1P,GB0009619817,SHRS,Financials,Financial Services,23/09/2004,United Kingdom,GBX,£1.59,AIM,,ASX1,AIMP
SWEF,STARWOOD EUROPEAN REAL ESTATE FINANCE LIMITED,ORD NPV,GG00B79WC100,SHRS,Financials,Financial Services,17/12/2012,Guernsey,GBX,£406.90,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SOG,STATPRO GROUP PLC,ORD 1P,GB0006300213,SHRS,Technology,Technology,25/03/2004,United Kingdom,GBX,£105.94,AIM,,ASX1,AIMP
STEL,STELLAR DIAMONDS PLC,ORD 1P,GB00BYZ5QT80,SHRS,Basic Materials,Basic Resources,20/11/2015,United Kingdom,GBX,£1.43,AIM,,ASX1,AIMP
STCM,STEPPE CEMENT LTD,ORD NPV,MYA004433001,SHRS,Industrials,Construction & Materials,15/09/2005,Malaysia,GBX,£49.28,AIM,,ASX1,AIMP
SEY,STERLING ENERGY PLC,ORD 10P,GB00B4X3Q493,SHRS,Oil & Gas,Oil & Gas,23/12/2009,United Kingdom,GBX,£31.58,AIM,,AMSM,ASM6
STE,STEWART & WIGHT PLC,ORD 5P,GB0008556192,SHRS,Financials,Real Estate,20/09/1996,United Kingdom,GBX,£8.23,MAIN MARKET,Premium Equity Commercial Companies,SSX4,SXNC
STHR,STHREE PLC,ORD 1P,GB00B0KM9T71,SHRS,Industrials,Industrial Goods & Services,16/06/2006,United Kingdom,GBX,£461.83,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
STIL,STILFONTEIN GOLD MINING CO LD,R0.50,ZAE000007118,SHRS,,,27/09/2004,South Africa,GBX,£0.00,MAIN MARKET,,SSX4,SXSN
STL,STILO INTERNATIONAL PLC,ORD 1P,GB0009597484,SHRS,Technology,Technology,30/08/2000,United Kingdom,GBX,£5.70,AIM,,ASX1,AIMP
SIV,ST. IVES PLC,ORD 10P,GB0007689002,SHRS,Industrials,Industrial Goods & Services,19/12/2005,United Kingdom,GBX,£105.00,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
STJ,ST. JAMES'S PLACE PLC,ORD 15P,GB0007669376,SHRS,Financials,Insurance,31/10/2003,United Kingdom,GBX,"£6,288.09",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
STM,STM GROUP PLC,ORD 0.1P,IM00B1S9KY98,SHRS,Financials,Financial Services,28/03/2007,Isle of Man,GBX,£29.97,AIM,,ASX1,AIMP
SMP,ST.MODWEN PROPERTIES PLC,ORD 10P,GB0007291015,SHRS,Financials,Real Estate,22/12/2003,United Kingdom,GBX,£916.19,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
STOB,STOBART GROUP LD,ORD 10P,GB00B03HDJ73,SHRS,Industrials,Industrial Goods & Services,18/09/2006,Guernsey,GBX,£827.30,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
STCK,STOCK SPIRITS GROUP PLC,ORD 10P,GB00BF5SDZ96,SHRS,Consumer Goods,Food & Beverage,25/10/2013,United Kingdom,GBX,£608.00,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SPPC,ST PETER PORT CAPITAL LIMITED,ORD NPV,GG00B1V4NS68,SHRS,Financials,Financial Services,16/04/2007,Guernsey,GBX,£5.62,AIM,,ASX1,AIMP
STHP,STRANGER HOLDINGS PLC,ORD GBP0.001,GB00BYWLRL80,SHRS,Financials,Financial Services,13/01/2017,United Kingdom,GBX,£2.00,MAIN MARKET,,SSQ3,SQS3
AERO,STRAT AERO PLC,ORD 0.01P,GB00BQQPLG38,SHRS,Industrials,Industrial Goods & Services,17/11/2014,United Kingdom,GBX,£3.10,AIM,,ASQ1,AMQ1
SEC,STRATEGIC EQUITY CAPITAL PLC,ORD 10P,GB00B0BDCB21,SHRS,Financials,Financial Services,19/07/2005,United Kingdom,GBX,£158.55,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
SML,STRATEGIC MINERALS PLC,ORD 0.1P,GB00B4W8PD74,SHRS,Basic Materials,Basic Resources,08/06/2011,United Kingdom,GBX,£26.78,AIM,,ASQ1,AMQ1
